barangay,ndeath01_prop,nmaln05_prop,ndeath05_prop,nsquat_prop,nmsh_prop,nntsws_prop,nntstf_prop,nntkinder5_prop,nntelem611_prop,nnths1215_prop,nntelem612_prop,nnths1316_prop,nnths1617_prop,ntert1721_prop,nntliter10ab_prop,npovp_prop,nsubp_prop,nfshort_prop,nunempl15ab_prop,nvictcr_prop,age_dep_prop,dep_prop
Aduas Centro (Aduas),0.0,0.8287292817679558,0.0,2.166064981949458,4.100051572975761,0.0,0.0,15.384615384615385,13.28976034858388,17.24137931034483,20.527306967984934,16.071428571428573,48.854961832061065,27.73972602739726,1.6516048613275165,18.54048478597215,10.108303249097473,0.5673027333677153,4.215618521078093,0.0257864878803507,34.06395048994327,64.25992779783394
Aduas Norte,0.0,1.098901098901099,0.21978021978021978,2.464628023733455,7.234139662254678,0.06846188954815154,0.18256503879507074,24.0,13.451327433628318,23.49570200573066,20.18348623853211,26.436781609195403,51.93370165745856,22.838137472283815,2.8161081385525204,21.542674577818346,9.881332724783205,0.7530807850296669,4.200626959247649,0.18256503879507074,35.34915563669557,65.13007759014148
Aduas Sur,0.0,0.6779661016949152,0.6779661016949152,3.217054263565892,3.5465116279069764,0.0,0.4263565891472868,30.851063829787233,10.06825938566553,24.317617866004962,17.26618705035971,25.569620253164555,52.23880597014925,25.971370143149286,6.287497000239981,33.81782945736434,19.244186046511626,1.937984496124031,7.403375068045727,0.23255813953488372,34.825581395348834,67.03488372093022
Bagong Buhay,0.0,1.1494252873563218,1.1494252873563218,10.29641185647426,1.40405616224649,0.0,4.6801872074882995,6.666666666666667,6.666666666666667,15.254237288135593,18.867924528301888,30.909090909090907,71.42857142857143,26.08695652173913,6.0728744939271255,49.609984399375975,36.505460218408736,0.0,7.042253521126761,0.0,40.09360374414976,69.11076443057722
Bagong Sikat,2.5,5.50098231827112,0.5893909626719057,1.2615235322658904,2.6200873362445414,6.06501698204755,0.43668122270742354,19.101123595505616,8.611599297012303,19.82248520710059,17.33128834355828,28.313253012048197,49.34210526315789,19.491525423728813,4.865199876045863,52.54730713245998,36.24454148471616,5.240174672489083,3.8970588235294117,0.12130033964095098,37.45754488112566,68.29209121785541
Bakero,0.0,1.5151515151515151,0.0,0.7793968146391054,1.8637749915282955,7.11623178583531,0.10166045408336156,41.509433962264154,7.142857142857142,23.902439024390244,15.594059405940595,36.36363636363637,47.82608695652174,17.343173431734318,2.57689110556941,41.985767536428334,23.17858353100644,0.881057268722467,3.8048780487804876,0.0,33.71738393764826,66.58759742460182
Bakod Bayan,3.260869565217391,1.8662519440124419,0.46656298600311047,5.666779776043434,0.8822531387852053,2.561927383780115,0.1357312521208008,26.548672566371685,14.941022280471822,25.75452716297787,22.04724409448819,30.515463917525775,55.75221238938053,22.319859402460455,11.97883597883598,41.33016627078385,30.624363759755685,0.2714625042416016,6.611993849308047,0.0339328130302002,35.188327112317616,69.08720732948761
Balite,0.0,1.6042780748663104,0.0,1.579871269748391,1.4043300175541251,0.058513750731421885,0.0,23.684210526315788,10.0,15.972222222222221,19.91869918699187,25.547445255474454,30.18867924528302,28.39506172839506,1.7454545454545456,39.14569923932124,19.660620245757755,0.0,8.008658008658008,0.0,34.7571679344646,75.1316559391457
Bangad,0.9900990099009901,0.4878048780487805,0.16260162601626016,1.9694397283531409,1.0696095076400678,0.0,4.448217317487266,34.61538461538461,12.25710014947683,21.153846153846153,18.322580645161292,27.505827505827508,36.69724770642202,29.254302103250478,2.975206611570248,15.00848896434635,6.774193548387098,0.13582342954159593,3.0157970320727623,0.01697792869269949,33.05602716468591,65.60271646859083
Bantug Bulalo,0.0,1.1049723756906076,0.0,1.7678255745433118,4.832056570418385,0.0,0.29463759575721865,44.11764705882353,10.240963855421686,29.245283018867923,15.544041450777202,33.00970873786408,52.72727272727272,47.61904761904761,2.3387668320340187,30.053034767236298,21.744254566882734,1.0017678255745435,2.4691358024691357,0.5303476723629935,33.52975839717148,62.75780789628757
Bantug Norte,0.0,0.6954102920723227,0.0,3.725757060224566,7.553589656345696,0.22116366110922084,0.01701258931609391,37.79527559055118,13.925925925925926,26.054590570719604,20.3125,29.508196721311474,58.9041095890411,26.23574144486692,1.6166773027015529,33.701939435182034,21.571963252807077,0.5444028581150051,3.100046970408642,0.13610071452875128,34.50153113303845,64.90302824089827
Barlis,0.0,0.5555555555555556,0.0,7.831715210355987,1.6181229773462782,0.517799352750809,0.0,17.857142857142858,7.777777777777778,16.083916083916083,17.75700934579439,23.741007194244602,46.15384615384615,28.22085889570552,11.200000000000001,39.41747572815534,25.76051779935275,0.3883495145631068,12.854030501089325,0.0,35.275080906148865,74.11003236245955
Barrera District (Pob.),0.0,1.5734265734265735,0.0,2.232893157262905,3.1692677070828332,2.0648259303721486,0.024009603841536616,28.57142857142857,14.201183431952662,32.19814241486068,19.392917369308602,35.54216867469879,60.47904191616767,18.622448979591837,2.7384615384615385,36.68667466986795,19.615846338535412,0.8403361344537815,2.5913621262458473,0.09603841536614646,36.83073229291717,64.80192076830733
