barangay,ndeath05_prop,nntsws_prop,nntelem612_prop,nnths1617_prop,ntert1721_prop,nntliter10ab_prop,nfshort_prop,nunempl15ab_prop,nvictcr_prop,age_dep_ratio,dep_ratio
Aduas Centro (Aduas),0.0,0.0,20.527306967984934,48.854961832061065,27.73972602739726,1.6516048613275165,0.5673027333677153,4.215618521078093,0.0257864878803507,0.51662104028158,1.797979797979798
Aduas Norte,0.21978021978021978,0.06846188954815154,20.18348623853211,51.93370165745856,22.838137472283815,2.8161081385525204,0.7530807850296669,4.200626959247649,0.18256503879507074,0.5467702082597953,1.867801047120419
Aduas Sur,0.6779661016949152,0.0,17.26618705035971,52.23880597014925,25.971370143149286,6.287497000239981,1.937984496124031,7.403375068045727,0.23255813953488372,0.5343443354148082,2.0335097001763667
Bagong Buhay,1.1494252873563218,0.0,18.867924528301888,71.42857142857143,26.08695652173913,6.0728744939271255,0.0,7.042253521126761,0.0,0.6692708333333334,2.2373737373737375
Bagong Sikat,0.5893909626719057,6.06501698204755,17.33128834355828,49.34210526315789,19.491525423728813,4.865199876045863,5.240174672489083,3.8970588235294117,0.12130033964095098,0.5989138867339022,2.153787299158378
Bakero,0.0,7.11623178583531,15.594059405940595,47.82608695652174,17.343173431734318,2.57689110556941,0.881057268722467,3.8048780487804876,0.0,0.5086912065439673,1.9929006085192698
Bakod Bayan,0.46656298600311047,2.561927383780115,22.04724409448819,55.75221238938053,22.319859402460455,11.97883597883598,0.2714625042416016,6.611993849308047,0.0339328130302002,0.5429319371727749,2.234906695938529
Balite,0.0,0.058513750731421885,19.91869918699187,30.18867924528302,28.39506172839506,1.7454545454545456,0.0,8.008658008658008,0.0,0.5327354260089686,3.021176470588235
Bangad,0.16260162601626016,0.0,18.322580645161292,36.69724770642202,29.254302103250478,2.975206611570248,0.13582342954159593,3.0157970320727623,0.01697792869269949,0.49378645701242707,1.9072063178677197
Bantug Bulalo,0.0,0.0,15.544041450777202,52.72727272727272,47.61904761904761,2.3387668320340187,1.0017678255745435,2.4691358024691357,0.5303476723629935,0.5044326241134752,1.6851265822784811
Bantug Norte,0.0,0.22116366110922084,20.3125,58.9041095890411,26.23574144486692,1.6166773027015529,0.5444028581150051,3.100046970408642,0.13610071452875128,0.5267532467532468,1.8492486669898207
Barlis,0.0,0.517799352750809,17.75700934579439,46.15384615384615,28.22085889570552,11.200000000000001,0.3883495145631068,12.854030501089325,0.0,0.545,2.8625
Barrera District (Pob.),0.0,2.0648259303721486,19.392917369308602,60.47904191616767,18.622448979591837,2.7384615384615385,0.8403361344537815,2.5913621262458473,0.09603841536614646,0.5830482706195363,1.8410641200545703
Bernardo District (Pob.),0.0,0.0,21.34831460674157,50.0,28.57142857142857,1.3157894736842104,0.0,4.545454545454546,0.0,0.45729537366548045,1.6
Bitas,0.6818181818181818,0.0,15.208333333333332,37.81094527363184,54.785020804438275,3.12331717824448,0.3851381966470322,5.059132720105125,0.22655188038060714,0.43451413714657133,2.054671280276817
Bonifacio District (Pob.),0.0,0.19408054342552158,16.363636363636363,45.83333333333333,26.55367231638418,2.710843373493976,0.6307617661329452,4.172274562584119,0.0,0.5927357032457496,1.8946629213483146
Buliran,0.0,0.0,17.328519855595665,40.909090909090914,24.161073825503358,1.5340909090909092,0.0,5.547445255474453,0.0,0.5178826895565093,2.2797527047913446
Caalibangbangan,0.4282655246252677,0.6290829905637552,18.985126859142607,48.20846905537459,26.50130548302872,1.8780048076923077,0.5443987418340189,3.4962540135569036,0.012097749818533753,0.5459135964092015,2.055822550831793
Cabu,0.0,0.0,18.21428571428571,50.326797385620914,19.16167664670659,1.2687813021702838,0.8968609865470852,4.71976401179941,0.0,0.5607245780156443,1.9342105263157894
Calawagan (Kalawagan),1.8404907975460123,0.2706359945872801,12.669683257918551,44.680851063829785,22.5,2.9914529914529915,2.706359945872801,3.1598513011152414,0.20297699594046006,0.5978378378378378,1.836852207293666
Campo Tinio,0.12453300124533001,0.7040417209908736,20.162932790224033,48.134328358208954,27.442528735632184,3.662597114317425,0.09126466753585398,4.2868589743589745,0.01303780964797914,0.4896096329384346,2.210548346588531
Caridad,1.098901098901099,0.9774436090225564,21.73913043478261,29.166666666666668,30.303030303030305,3.463203463203463,4.135338345864661,3.1645569620253164,0.6766917293233082,0.5683962264150944,1.89760348583878
Caudillo,1.0471204188481675,4.775086505190312,16.371681415929203,56.896551724137936,13.768115942028986,5.724508050089446,5.6055363321799305,8.078602620087336,0.06920415224913494,0.5723612622415669,2.4323040380047507
Cinco-Cinco,0.9478672985781991,0.17942583732057416,15.546218487394958,45.45454545454545,10.625,2.4297646165527715,1.1961722488038278,4.682274247491638,0.11961722488038277,0.5597014925373134,1.9333333333333333
City Supermarket (Pob.),0.0,0.0,50.0,0.0,0.0,4.081632653061225,0.0,1.4285714285714286,2.0,0.2987012987012987,0.4492753623188406
Communal,0.7299270072992701,0.8176614881439084,18.090452261306535,43.90243902439025,17.346938775510203,4.0,0.9811937857726901,6.436781609195402,0.1635322976287817,0.6007853403141361,2.004914004914005
Cruz Roja,0.2380952380952381,0.0,19.055944055944053,52.892561983471076,25.165562913907287,2.4947294448348556,0.0,5.982274741506647,0.02770083102493075,0.5771079073831368,1.835820895522388
Daang Sarile,0.145985401459854,0.0992227550851662,17.37142857142857,51.28205128205128,24.637681159420293,1.634988759452279,0.2811311394079709,4.646113764654798,0.1984455101703324,0.55609881626351,1.7536429872495447
Dalampang,0.0,0.1724137931034483,10.276679841897234,37.28813559322034,24.65753424657534,1.1988716502115657,0.0,6.839186691312385,0.0,0.564748201438849,2.4523809523809526
Dicarma (Pob.),0.2857142857142857,0.0,15.126050420168067,54.13533834586466,25.57471264367816,4.865070315469403,1.439509954058193,3.051643192488263,0.4287901990811639,0.4915486523526725,1.6351896690879741
