barangay,ndeath05_prop,nntsws_prop,nntelem612_prop,nnths1617_prop,ntert1721_prop,nntliter10ab_prop,npovp_prop,nfshort_prop,nunempl15ab_prop,nvictcr_prop,age_dep_prop,dep_prop,hh_totmem
Aduas Centro (Aduas),0.0,0.0,20.527306967984934,48.854961832061065,27.73972602739726,1.6516048613275165,18.54048478597215,0.5673027333677153,4.215618521078093,0.0257864878803507,34.06395048994327,64.25992779783394,3878
Aduas Norte,0.21978021978021978,0.06846188954815154,20.18348623853211,51.93370165745856,22.838137472283815,2.8161081385525204,21.542674577818346,0.7530807850296669,4.200626959247649,0.18256503879507074,35.34915563669557,65.13007759014148,4382
Aduas Sur,0.6779661016949152,0.0,17.26618705035971,52.23880597014925,25.971370143149286,6.287497000239981,33.81782945736434,1.937984496124031,7.403375068045727,0.23255813953488372,34.825581395348834,67.03488372093022,5160
Bagong Buhay,1.1494252873563218,0.0,18.867924528301888,71.42857142857143,26.08695652173913,6.0728744939271255,49.609984399375975,0.0,7.042253521126761,0.0,40.09360374414976,69.11076443057722,641
Bagong Sikat,0.5893909626719057,6.06501698204755,17.33128834355828,49.34210526315789,19.491525423728813,4.865199876045863,52.54730713245998,5.240174672489083,3.8970588235294117,0.12130033964095098,37.45754488112566,68.29209121785541,4122
Bakero,0.0,7.11623178583531,15.594059405940595,47.82608695652174,17.343173431734318,2.57689110556941,41.985767536428334,0.881057268722467,3.8048780487804876,0.0,33.71738393764826,66.58759742460182,2951
Bakod Bayan,0.46656298600311047,2.561927383780115,22.04724409448819,55.75221238938053,22.319859402460455,11.97883597883598,41.33016627078385,0.2714625042416016,6.611993849308047,0.0339328130302002,35.188327112317616,69.08720732948761,5894
Balite,0.0,0.058513750731421885,19.91869918699187,30.18867924528302,28.39506172839506,1.7454545454545456,39.14569923932124,0.0,8.008658008658008,0.0,34.7571679344646,75.1316559391457,1709
Bangad,0.16260162601626016,0.0,18.322580645161292,36.69724770642202,29.254302103250478,2.975206611570248,15.00848896434635,0.13582342954159593,3.0157970320727623,0.01697792869269949,33.05602716468591,65.60271646859083,5890
Bantug Bulalo,0.0,0.0,15.544041450777202,52.72727272727272,47.61904761904761,2.3387668320340187,30.053034767236298,1.0017678255745435,2.4691358024691357,0.5303476723629935,33.52975839717148,62.75780789628757,1697
Bantug Norte,0.0,0.22116366110922084,20.3125,58.9041095890411,26.23574144486692,1.6166773027015529,33.701939435182034,0.5444028581150051,3.100046970408642,0.13610071452875128,34.50153113303845,64.90302824089827,5878
Barlis,0.0,0.517799352750809,17.75700934579439,46.15384615384615,28.22085889570552,11.200000000000001,39.41747572815534,0.3883495145631068,12.854030501089325,0.0,35.275080906148865,74.11003236245955,1545
Barrera District (Pob.),0.0,2.0648259303721486,19.392917369308602,60.47904191616767,18.622448979591837,2.7384615384615385,36.68667466986795,0.8403361344537815,2.5913621262458473,0.09603841536614646,36.83073229291717,64.80192076830733,4165
Bernardo District (Pob.),0.0,0.0,21.34831460674157,50.0,28.57142857142857,1.3157894736842104,25.396825396825395,0.0,4.545454545454546,0.0,31.37973137973138,61.53846153846154,819
Bitas,0.6818181818181818,0.0,15.208333333333332,37.81094527363184,54.785020804438275,3.12331717824448,37.449025826914365,0.3851381966470322,5.059132720105125,0.22655188038060714,30.289986406887177,67.26325328500226,4414
Bonifacio District (Pob.),0.0,0.19408054342552158,16.363636363636363,45.83333333333333,26.55367231638418,2.710843373493976,30.761766132945173,0.6307617661329452,4.172274562584119,0.0,37.214944201843764,65.45366327025715,2061
Buliran,0.0,0.0,17.328519855595665,40.909090909090914,24.161073825503358,1.5340909090909092,24.17530631479736,0.0,5.547445255474453,0.0,34.11875589066918,69.50989632422242,2122
Caalibangbangan,0.4282655246252677,0.6290829905637552,18.985126859142607,48.20846905537459,26.50130548302872,1.8780048076923077,42.971207355431886,0.5443987418340189,3.4962540135569036,0.012097749818533753,35.31333172030002,67.2755867408662,8266
Cabu,0.0,0.0,18.21428571428571,50.326797385620914,19.16167664670659,1.2687813021702838,34.37087839620153,0.8968609865470852,4.71976401179941,0.0,35.927195990503826,65.91928251121077,3791
Calawagan (Kalawagan),1.8404907975460123,0.2706359945872801,12.669683257918551,44.680851063829785,22.5,2.9914529914529915,45.80514208389716,2.706359945872801,3.1598513011152414,0.20297699594046006,37.41542625169147,64.74966170500677,1478
Campo Tinio,0.12453300124533001,0.7040417209908736,20.162932790224033,48.134328358208954,27.442528735632184,3.662597114317425,23.63754889178618,0.09126466753585398,4.2868589743589745,0.01303780964797914,32.868318122555415,68.85267275097785,7670
Caridad,1.098901098901099,0.9774436090225564,21.73913043478261,29.166666666666668,30.303030303030305,3.463203463203463,25.71428571428571,4.135338345864661,3.1645569620253164,0.6766917293233082,36.2406015037594,65.48872180451127,1330
Caudillo,1.0471204188481675,4.775086505190312,16.371681415929203,56.896551724137936,13.768115942028986,5.724508050089446,64.49826989619378,5.6055363321799305,8.078602620087336,0.06920415224913494,36.40138408304499,70.86505190311418,1445
Cinco-Cinco,0.9478672985781991,0.17942583732057416,15.546218487394958,45.45454545454545,10.625,2.4297646165527715,44.01913875598086,1.1961722488038278,4.682274247491638,0.11961722488038277,35.88516746411483,65.9090909090909,1672
City Supermarket (Pob.),0.0,0.0,50.0,0.0,0.0,4.081632653061225,1.0,0.0,1.4285714285714286,2.0,23.0,31.0,100
Communal,0.7299270072992701,0.8176614881439084,18.090452261306535,43.90243902439025,17.346938775510203,4.0,56.33687653311529,0.9811937857726901,6.436781609195402,0.1635322976287817,37.53066230580539,66.72117743254292,1223
