,barangay,Malnourished Children 5 Yrs. Below,Infant Mortality Deaths,Living as Squatters,Living in Makeshift Housing,No Access to Safe Water Proportion,No Access to Sanitary Toilet Proportion,Ages (5 and below) Not in Kinder,Ages (6-11) Not in Elementary,Ages (12-15) Not in Junior High School,Ages (16-17) Not Senior High School,Ages (17-21) Not in Tertiary,Ages (10 and above) Not Literate,Poor Household,Subsistently Poor Household,Experienced Food Shortage,Ages (15 and Above) Unemployed,Number of Victims of Crime,"Dependents  Ages (0-14, 65+)",Unemployed Dependents,Household Total Members,cluster_labels
15,Bonifacio District (Pob.),2.0491803278688523,0.0,5.676855895196507,3.2508491023774866,0.19408054342552158,0.4852013585638039,39.02439024390244,7.9831932773109235,19.653179190751445,45.83333333333333,26.55367231638418,2.710843373493976,30.761766132945173,15.380883066472586,0.6307617661329452,4.172274562584119,0.0,37.214944201843764,65.45366327025715,2061,2
16,Buliran,0.9478672985781991,0.0,0.6597549481621112,1.5080113100848256,0.0,0.0,18.421052631578945,7.659574468085106,14.893617021276595,40.909090909090914,24.161073825503358,1.5340909090909092,24.17530631479736,14.60885956644675,0.0,5.547445255474453,0.0,34.11875589066918,69.50989632422242,2122,2
17,Caalibangbangan,0.6423982869379015,0.4282655246252677,15.097991773530122,1.9598354706024679,0.6290829905637552,0.0,35.75757575757576,10.764587525150905,17.771084337349397,48.20846905537459,26.50130548302872,1.8780048076923077,42.971207355431886,27.703847084442295,0.5443987418340189,3.4962540135569036,0.012097749818533753,35.31333172030002,67.2755867408662,8266,0
18,Cabu,0.8695652173913043,0.0,2.374043787918755,2.163017673437088,0.0,0.026378264310208392,26.47058823529412,9.775967413441954,15.862068965517242,50.326797385620914,19.16167664670659,1.2687813021702838,34.37087839620153,18.095489316802954,0.8968609865470852,4.71976401179941,0.0,35.927195990503826,65.91928251121077,3791,0
19,Calawagan (Kalawagan),1.8404907975460123,1.8404907975460123,4.871447902571042,1.8944519621109608,0.2706359945872801,1.6238159675236805,19.230769230769234,2.5773195876288657,13.178294573643413,44.680851063829785,22.5,2.9914529914529915,45.80514208389716,32.27334235453315,2.706359945872801,3.1598513011152414,0.20297699594046006,37.41542625169147,64.74966170500677,1478,0
20,Campo Tinio,0.49813200498132004,0.12453300124533001,1.2646675358539765,2.2685788787483703,0.7040417209908736,0.0,26.573426573426573,11.961722488038278,19.680851063829788,48.134328358208954,27.442528735632184,3.662597114317425,23.63754889178618,13.285528031290744,0.09126466753585398,4.2868589743589745,0.01303780964797914,32.868318122555415,68.85267275097785,7670,2
21,Caridad,2.197802197802198,1.098901098901099,9.774436090225564,4.135338345864661,0.9774436090225564,1.6541353383458646,15.384615384615385,10.852713178294573,20.535714285714285,29.166666666666668,30.303030303030305,3.463203463203463,25.71428571428571,17.969924812030076,4.135338345864661,3.1645569620253164,0.6766917293233082,36.2406015037594,65.48872180451127,1330,2
22,Caudillo,1.5706806282722512,1.0471204188481675,3.1141868512110724,3.0449826989619377,4.775086505190312,3.598615916955018,48.0,8.333333333333332,26.61290322580645,56.896551724137936,13.768115942028986,5.724508050089446,64.49826989619378,51.14186851211072,5.6055363321799305,8.078602620087336,0.06920415224913494,36.40138408304499,70.86505190311418,1445,0
23,Cinco-Cinco,2.843601895734597,0.9478672985781991,12.14114832535885,2.9904306220095696,0.17942583732057416,0.17942583732057416,31.428571428571427,6.763285024154589,15.384615384615385,45.45454545454545,10.625,2.4297646165527715,44.01913875598086,31.100478468899524,1.1961722488038278,4.682274247491638,0.11961722488038277,35.88516746411483,65.9090909090909,1672,0
24,City Supermarket (Pob.),0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,4.081632653061225,1.0,1.0,0.0,1.4285714285714286,2.0,23.0,31.0,100,3
25,Communal,2.18978102189781,0.7299270072992701,2.125919869174162,0.8176614881439084,0.8176614881439084,0.1635322976287817,20.689655172413794,7.83132530120482,18.269230769230766,43.90243902439025,17.346938775510203,4.0,56.33687653311529,42.27309893704007,0.9811937857726901,6.436781609195402,0.1635322976287817,37.53066230580539,66.72117743254292,1223,0
26,Cruz Roja,2.619047619047619,0.2380952380952381,5.650969529085873,2.9085872576177287,0.0,1.1634349030470914,25.0,9.67741935483871,13.8996138996139,52.892561983471076,25.165562913907287,2.4947294448348556,30.498614958448755,18.116343490304708,0.0,5.982274741506647,0.02770083102493075,36.59279778393352,64.73684210526316,3610,2
27,Daang Sarile,1.167883211678832,0.145985401459854,5.0438233834959485,2.629403009756904,0.0992227550851662,0.0661485033901108,27.049180327868854,9.517426273458444,21.604938271604937,51.28205128205128,24.637681159420293,1.634988759452279,25.070282784851994,11.460228212336695,0.2811311394079709,4.646113764654798,0.1984455101703324,35.736728956507356,63.68447163882918,6047,2
28,Dalampang,0.5494505494505495,0.0,2.2988505747126435,0.0,0.1724137931034483,0.0,27.77777777777778,4.761904761904762,16.19718309859155,37.28813559322034,24.65753424657534,1.1988716502115657,29.770114942528735,13.275862068965516,0.0,6.839186691312385,0.0,36.0919540229885,71.03448275862068,1740,2
29,Dicarma (Pob.),1.1428571428571428,0.2857142857142857,13.506891271056661,1.776416539050536,0.0,0.0,21.875,8.551068883610451,20.647773279352226,54.13533834586466,25.57471264367816,4.865070315469403,22.787136294027565,11.791730474732006,1.439509954058193,3.051643192488263,0.4287901990811639,32.955589586523736,62.052067381317,3265,2
30,Dimasalang (Pob.),3.3333333333333335,0.0,1.4084507042253522,0.43336944745395445,0.0,0.0,33.33333333333333,16.666666666666664,18.333333333333332,44.0,35.1063829787234,2.7027027027027026,20.36836403033586,10.725893824485373,0.0,3.40632603406326,0.0,30.76923076923077,56.988082340195014,923,2
31,Dionisio S. Garcia,1.9607843137254901,1.2477718360071302,8.11832740213523,11.877224199288257,0.9119217081850534,1.5791814946619218,38.46153846153847,10.695187165775401,25.96685082872928,56.315789473684205,19.911504424778762,3.022670025188917,36.89946619217082,21.085409252669038,6.583629893238434,4.746835443037975,0.42259786476868333,35.787366548042705,66.52580071174377,4496,0
32,Fatima (Pob.),0.0,0.0,5.911330049261084,0.0,0.0,0.0,16.666666666666664,7.6923076923076925,25.0,25.0,37.254901960784316,1.9083969465648856,36.61740558292282,28.57142857142857,0.0,2.3474178403755865,0.0,33.16912972085386,65.84564860426929,609,2
33,General Luna (Pob.),1.9607843137254901,0.0,5.791855203619909,1.085972850678733,0.0,0.8144796380090499,17.391304347826086,9.090909090909092,18.6046511627907,51.06382978723404,50.37037037037037,1.812366737739872,28.054298642533936,17.55656108597285,3.7104072398190047,4.288939051918736,0.36199095022624433,32.85067873303167,61.6289592760181,1105,1
34,Hermogenes C. Concepcion; Sr.,0.546448087431694,0.0,23.182511438739198,3.101169293340112,0.0,0.0,34.78260869565217,9.743589743589745,23.076923076923077,40.98360655737705,31.132075471698112,0.6654567453115547,15.302491103202847,8.083375699034063,0.0,6.382978723404255,0.0,29.334011184544995,57.49872902897813,1967,2
35,Ibabao Bana,1.2244897959183674,0.40816326530612246,11.402231926249394,0.8248423095584668,0.0,0.1455604075691412,31.428571428571427,10.505836575875486,19.27710843373494,42.857142857142854,14.736842105263156,2.487864077669903,47.937894226103836,33.52741387675886,1.21300339640951,4.027777777777778,0.048520135856380396,36.24454148471616,66.47258612324114,2061,0
36,Imelda District,4.261363636363636,0.0,1.402524544179523,0.7713884992987377,0.07012622720897616,0.07012622720897616,23.809523809523807,8.378378378378379,23.275862068965516,52.083333333333336,22.83464566929134,1.729490022172949,29.66339410939691,12.201963534361852,1.5778401122019634,3.905447070914697,0.07012622720897616,37.166900420757365,67.21598877980365,2852,2
37,Isla (Pob.),0.0,0.0,0.5504587155963303,0.3058103975535168,0.0,0.42813455657492355,34.146341463414636,11.707317073170733,44.73684210526316,52.112676056338024,15.263157894736842,1.8808777429467085,30.21406727828746,14.128440366972479,0.0,2.6984126984126986,0.12232415902140673,34.31192660550459,62.50764525993884,1635,2
38,Kalikid Norte,6.049822064056939,0.0,8.576051779935275,0.0,0.0,7.96925566343042,9.836065573770492,6.609195402298851,13.48314606741573,46.464646464646464,26.146788990825687,3.048780487804878,31.715210355987054,18.527508090614887,0.28317152103559873,4.624277456647398,0.12135922330097086,38.30906148867314,66.62621359223301,2472,2
39,Kalikid Sur,6.690140845070422,0.17605633802816903,10.260145681581685,0.437044745057232,0.0,9.032258064516128,27.27272727272727,7.920792079207921,16.49746192893401,45.348837209302324,25.31645569620253,2.169367485624673,27.929240374609783,15.50468262226847,0.0,3.7679425837320575,0.0,35.90010405827263,66.51404786680541,4805,2
40,Kapitan Pepe (Pob.),0.0,0.0,0.6989748369058714,0.27958993476234856,0.09319664492078285,0.0,20.0,13.636363636363635,16.964285714285715,41.42857142857143,30.21978021978022,0.6389776357827476,20.596458527493013,12.162162162162163,0.0,2.810304449648712,0.0,31.407269338303824,61.323392357875115,2146,2
41,Lagare,1.3824884792626728,0.4608294930875576,0.8064516129032258,1.881720430107527,8.494623655913978,0.0,20.0,7.860262008733625,16.551724137931036,50.0,23.684210526315788,1.2709030100334449,40.913978494623656,29.08602150537634,2.4193548387096775,2.1406727828746175,0.053763440860215055,35.752688172043015,65.59139784946237,1860,0
42,Lourdes (Matungal-tungal),0.0,0.0,1.0859301227573182,3.068932955618508,0.4721435316336166,18.413597733711047,36.84210526315789,10.126582278481013,24.691358024691358,47.19101123595505,18.7192118226601,4.085155350978136,24.22096317280453,13.928234183191691,0.0,4.342105263157895,0.0,33.47497639282342,65.67516525023606,2118,2
43,M. S. Garcia,8.630393996247655,0.5628517823639775,1.2933025404157044,0.8545034642032332,0.0,0.0,24.444444444444443,7.721280602636535,21.963824289405682,54.06976744186046,22.950819672131146,1.2727798669366504,29.95381062355658,13.764434180138569,3.25635103926097,5.692599620493358,0.023094688221709007,36.39722863741339,65.56581986143188,4330,2
44,Mabini Extension,1.1673151750972763,0.0,3.7665324899367456,1.2938470385278895,0.0,0.0,11.363636363636363,12.714776632302405,16.574585635359114,30.337078651685395,52.63157894736842,2.4875621890547266,15.411155836687751,9.603220241518114,0.43128234617596317,2.0275162925416366,0.0,26.164462334675097,61.09833237492812,3478,1
45,Mabini Homesite,0.0,0.0,1.0510510510510511,0.5255255255255256,0.11261261261261261,0.03753753753753754,24.242424242424242,9.881422924901186,17.934782608695652,41.66666666666667,38.297872340425535,0.39508340649692714,17.154654654654657,9.30930930930931,0.0,4.965243296921549,0.0,32.31981981981982,64.07657657657657,2664,2
46,Macatbong,1.7142857142857144,0.5714285714285714,3.505786249149081,4.628999319264806,0.0,0.5105513955071478,24.561403508771928,8.465608465608465,16.666666666666664,47.107438016528924,14.17910447761194,1.9255455712451863,44.281824370319946,27.5357385976855,2.6889040163376445,3.3165829145728645,0.06807351940095302,36.793737236215115,67.2566371681416,2938,0
47,Magsaysay District,0.9523809523809524,0.31746031746031744,1.8570102135561743,11.20396162178892,0.03095017022593624,0.0,22.950819672131146,9.510869565217392,18.614718614718615,52.54237288135594,43.12169312169312,3.9179104477611943,32.157226864747756,24.605385329619313,0.5571030640668524,2.869198312236287,0.3404518724852987,32.281027545651504,64.37635406994738,3231,1
48,Magsaysay South,2.4193548387096775,0.0,1.9714144898965007,0.9857072449482503,0.0,0.0,22.22222222222222,12.76595744680851,23.47826086956522,34.065934065934066,61.979166666666664,3.2061912658927585,15.968457368161657,11.582060128141942,1.1828486939379004,2.1963824289405682,0.0,24.642681123706257,62.69098077870873,2029,1
49,Maria Theresa,0.0,0.0,0.8665511265164645,1.2131715771230502,0.0,0.0,0.0,6.122448979591836,26.923076923076923,40.74074074074074,38.46153846153847,2.7944111776447107,9.01213171577123,6.5857885615251295,0.0,2.5316455696202533,0.0,28.769497400346623,59.96533795493934,577,2
50,Matadero (Pob.),1.36986301369863,1.36986301369863,10.751295336787564,0.38860103626943004,0.0,0.7772020725388601,23.076923076923077,10.112359550561797,32.075471698113205,69.6969696969697,16.0,5.14018691588785,27.202072538860104,17.616580310880828,0.0,3.4129692832764507,0.2590673575129534,34.715025906735754,63.3419689119171,772,2
51,Mayapyap Norte,0.0,0.0,1.1742892459826948,0.865265760197775,0.061804697156983925,0.30902348578491967,19.230769230769234,13.368983957219251,16.037735849056602,46.875,28.57142857142857,1.0471204188481675,28.553770086526576,12.855377008652658,0.0,4.191616766467066,0.0,31.95302843016069,70.33374536464771,1618,2
52,Mayapyap Sur,0.0,0.0,4.364236848313281,2.0759613116301012,0.0,0.1887237556027365,24.175824175824175,11.201629327902241,20.846905537459286,52.63157894736842,22.70408163265306,0.994733762434172,40.17456947393253,25.123849964614298,0.04718093890068412,2.203856749311295,0.02359046945034206,35.83392309506959,66.50153338051427,4239,0
53,Melojavilla (Pob.),0.0,0.0,2.6455026455026456,0.0,0.0,0.0,0.0,4.166666666666666,26.666666666666668,41.66666666666667,27.27272727272727,5.654761904761905,27.24867724867725,19.31216931216931,0.0,4.395604395604396,0.0,23.015873015873016,53.96825396825397,378,2
54,Nabao (Pob.),0.0,0.0,0.7366482504604052,0.9208103130755065,0.0,0.0,0.0,12.280701754385964,44.44444444444444,38.46153846153847,23.52941176470588,1.7094017094017095,28.360957642725598,23.388581952117864,0.0,3.7209302325581395,0.0,31.123388581952117,61.87845303867403,543,2
55,Obrero,1.5337423312883436,0.0,1.023541453428864,0.511770726714432,2.6270897304674174,0.6823609689525759,38.983050847457626,10.731707317073171,15.865384615384615,42.04545454545455,22.900763358778626,1.3704496788008564,42.647560559536,25.99795291709314,1.0917775503241216,3.079884504331088,0.0341180484476288,35.619242579324464,65.64312521323781,2931,0
56,Padre Burgos (Pob.),0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,11.76470588235294,15.384615384615385,36.0,3.524229074889868,16.28787878787879,14.015151515151514,0.0,2.5423728813559325,1.1363636363636365,28.78787878787879,56.439393939393945,264,2
57,Padre Crisostomo,1.3363028953229399,0.4454342984409799,12.800846336947897,1.613329806929384,0.0,0.18513620735255223,30.76923076923077,10.023310023310025,21.641791044776117,43.35664335664335,25.0,4.543968617195162,18.460724676011637,8.384025390108436,0.18513620735255223,2.064693737095664,0.10579211848717271,33.747685797408096,62.364453848188305,3781,2
58,Pagas,0.37735849056603776,0.0,0.6382978723404255,0.2127659574468085,0.0,0.0,20.967741935483872,9.859154929577464,18.29268292682927,35.064935064935064,28.037383177570092,1.5207131620346093,21.361702127659573,10.76595744680851,0.0,3.9003250270855903,0.0425531914893617,34.38297872340426,62.255319148936174,2350,2
59,Palagay,1.3333333333333335,0.0,10.36878674505612,1.2827365045430252,1.2292891501870657,0.053447354355959376,36.11111111111111,8.936170212765958,16.666666666666664,33.84615384615385,14.935064935064934,1.8729096989966554,46.552645644040616,34.58043826830572,1.0689470871191877,4.866562009419153,0.10689470871191875,36.34420096205238,67.61090326028861,1871,0
60,Pamaldan,1.7412935323383085,0.0,13.480885311871226,3.8229376257545273,0.2682763246143528,0.0,19.444444444444446,9.63855421686747,17.94871794871795,43.0,17.573221757322173,2.3386747509744477,53.31991951710262,37.79342723004695,2.1797451374916164,3.5315985130111525,0.0670690811535882,37.82696177062374,65.19114688128774,2982,0
61,Pangatian,0.6451612903225806,0.0,6.75,2.5,0.0,0.04166666666666667,28.333333333333332,10.919540229885058,22.916666666666664,61.44578313253012,15.74074074074074,1.1853448275862069,41.0,19.291666666666664,0.8750000000000001,3.1839622641509435,0.0,37.375,65.79166666666667,2400,0
62,Patalac,15.74468085106383,0.0,3.16622691292876,1.58311345646438,0.0,7.493403693931398,25.0,7.82608695652174,14.19753086419753,44.827586206896555,23.417721518987342,1.6589250165892502,21.108179419525065,11.50395778364116,0.0,1.834862385321101,0.0,36.09498680738786,66.12137203166228,1895,2
63,Polilio,1.0714285714285714,0.0,10.419426048565121,1.5011037527593818,1.0596026490066226,0.4856512141280353,20.454545454545457,12.258064516129032,19.48717948717949,57.333333333333336,21.27659574468085,5.0675675675675675,57.48344370860927,41.63355408388521,3.487858719646799,4.247104247104247,0.04415011037527594,36.5121412803532,67.1523178807947,2265,0
64,Pula,0.0,0.0,0.0,0.44603033006244425,0.0,0.0,53.84615384615385,9.574468085106384,33.33333333333333,57.14285714285714,19.587628865979383,0.5197505197505198,18.465655664585192,9.634255129348796,0.0,7.142857142857142,0.0,29.43800178412132,67.52899197145406,1121,2
65,Quezon District (Pob.),0.0,1.5873015873015872,0.3988035892323031,1.296111665004985,0.29910269192422734,0.0,22.22222222222222,6.8493150684931505,23.52941176470588,36.58536585365854,61.016949152542374,2.132435465768799,27.81655034895314,22.233300099700898,0.3988035892323031,5.263157894736842,0.6979062811565304,25.324027916251246,64.10767696909272,1003,1
66,Rizdelis (Pob.),4.918032786885246,0.0,3.0,2.166666666666667,0.0,1.0,31.25,14.893617021276595,23.52941176470588,68.18181818181817,29.230769230769234,4.536489151873767,25.333333333333336,12.666666666666668,0.0,2.1459227467811157,0.16666666666666669,30.5,62.0,600,2
67,Samon,0.0,0.5494505494505495,1.8802228412256268,1.6016713091922006,2.1587743732590527,0.48746518105849584,41.37931034482759,10.526315789473683,25.954198473282442,59.64912280701754,23.308270676691727,3.9215686274509802,50.55710306406686,33.56545961002785,2.1587743732590527,7.6923076923076925,0.0,36.83844011142061,69.08077994428969,1436,0
68,San Isidro,0.21598272138228944,0.0,1.426872770511296,1.5933412604042807,0.8799048751486327,6.634958382877527,34.177215189873415,10.495049504950495,23.19277108433735,41.95804195804196,23.415977961432507,6.334310850439882,24.209274673008323,13.293697978596908,0.2615933412604043,4.313205043132051,0.16646848989298454,34.74435196195006,65.7074910820452,4205,2
69,San Josef Norte,1.1019283746556474,0.27548209366391185,1.7368928916050175,1.8333869411386299,2.541009971051785,0.32164683177870695,22.727272727272727,10.149253731343283,16.528925619834713,41.34615384615385,22.641509433962266,4.006346687822293,33.12962367320682,19.170151174010936,0.4503055644901898,5.795847750865052,0.32164683177870695,34.83435188163397,64.97266001929881,3109,2
70,San Josef Sur,2.166064981949458,0.0,6.374900079936051,1.7785771382893685,0.6594724220623501,0.09992006394884093,31.521739130434785,9.507042253521126,16.752577319587626,49.23076923076923,30.20408163265306,3.548546081813701,28.756994404476423,15.607513988808952,1.1590727418065547,6.886898096304591,0.15987210231814547,34.75219824140687,66.7665867306155,5004,2
71,San Juan Pob. (Acofa),2.358490566037736,0.0,32.35073225685317,2.9665790461885093,0.0,0.07510326699211416,33.33333333333333,12.225274725274724,31.724137931034484,62.62135922330098,22.044088176352705,2.3719165085388996,28.407810739767182,15.54637626736763,0.5257228689447991,7.1797278273111225,0.0938790837401427,35.861809988734514,62.861434472399544,5326,2
72,San Roque Norte,1.2658227848101267,1.2658227848101267,1.006711409395973,0.11185682326621924,1.342281879194631,0.0,6.666666666666667,12.0,12.068965517241379,37.03703703703704,36.84210526315789,2.4804177545691903,22.483221476510067,13.982102908277405,0.33557046979865773,5.099150141643059,0.33557046979865773,29.977628635346754,62.52796420581655,894,2
73,San Roque Sur,2.3255813953488373,0.0,31.539888682745826,1.391465677179963,0.0,0.0,45.83333333333333,10.9375,15.0,43.90243902439025,17.20430107526882,1.2702078521939952,25.788497217068645,14.37847866419295,0.1855287569573284,2.4213075060532687,0.0,35.43599257884972,62.615955473098325,1078,2
74,Sanbermicristi (Pob.),0.0,0.0,4.623655913978494,1.1827956989247312,0.0,0.0,30.76923076923077,16.666666666666664,26.865671641791046,57.89473684210527,30.0,1.1464968152866242,24.516129032258064,14.731182795698924,0.0,3.287671232876712,0.0,32.15053763440861,62.043010752688176,930,2
75,Sangitan,3.1578947368421053,0.0,4.365733113673806,1.9769357495881383,0.0,0.08237232289950577,42.10526315789473,13.861386138613863,22.972972972972975,41.86046511627907,31.25,1.520912547528517,18.204283360790775,12.767710049423394,0.0,3.536345776031434,0.08237232289950577,28.83031301482702,59.555189456342674,1214,2
76,Sangitan East,0.7042253521126761,0.0,3.9719626168224296,5.549065420560748,0.40887850467289716,0.23364485981308408,22.22222222222222,6.8493150684931505,22.47191011235955,33.84615384615385,52.475247524752476,6.720977596741344,43.165887850467286,31.95093457943925,0.9345794392523363,3.7606837606837606,0.29205607476635514,27.511682242990652,67.11448598130842,1712,1
77,Santa Arcadia,11.194029850746269,0.0,3.5365152386428984,11.817136285221391,1.6676250718803909,0.48878665899942497,28.35820895522388,12.419700214132762,24.126984126984127,51.87500000000001,18.38006230529595,2.4566473988439306,47.52731454859114,34.96262219666475,1.0925819436457735,3.8919777601270846,0.0,36.74525589419206,65.20989074180564,3478,0
78,Santo Nino,2.923976608187134,0.5847953216374269,4.5739348370927315,1.7543859649122806,0.0,0.06265664160401002,20.51282051282051,8.372093023255815,29.25170068027211,57.99999999999999,15.59633027522936,4.006284367635507,55.82706766917293,43.48370927318296,3.7593984962406015,4.480286738351254,0.12531328320802004,35.714285714285715,66.60401002506265,1596,0
79,Sapang,0.0,0.0,2.4412296564195297,0.6329113924050633,1.3562386980108498,0.0,26.08695652173913,5.405405405405405,16.666666666666664,38.46153846153847,20.5607476635514,2.8792912513842746,41.8625678119349,21.066907775768534,0.0,15.946843853820598,0.0,33.99638336347197,77.124773960217,1106,0
80,Sumacab Este,0.35714285714285715,0.35714285714285715,13.436846819946252,1.642281277993431,1.433263660794267,0.029859659599880562,33.33333333333333,10.76923076923077,22.58064516129032,47.0,71.2998712998713,3.8285914998243764,31.89011645267244,22.096148103911613,1.911018214392356,8.02919708029197,0.32845625559868613,27.799343087488804,69.9014631233204,3349,1
81,Sumacab Norte,0.9174311926605505,0.0,6.924437705332323,1.1119535001263583,0.5054334091483448,0.6065200909780136,43.54838709677419,8.72340425531915,19.558359621451103,54.36241610738255,21.0,1.4953271028037385,35.38033864038413,20.166793025018954,0.32853171594642405,4.720406681190995,0.025271670457417232,34.495830174374525,66.84356835986858,3957,0
82,Sumacab South,3.8461538461538463,0.0,8.578075021808665,0.7560337307356789,0.14539110206455366,0.11631288165164291,25.0,11.484593837535014,19.02834008097166,42.99065420560748,37.5,1.331931300385559,21.89589997092178,11.805757487641756,0.319860424542018,3.349282296650718,0.02907822041291073,32.36405931956964,64.7571968595522,3439,2
83,Talipapa,0.42194092827004215,0.0,10.657370517928287,2.539840637450199,0.0,0.348605577689243,24.324324324324326,11.355311355311356,16.49484536082474,45.16129032258064,20.224719101123593,2.31105559025609,42.72908366533865,30.627490039840637,1.045816733067729,3.7815126050420167,0.29880478087649404,37.201195219123505,65.78685258964143,2008,0
