barangay,nmaln05-prop,ndeath05-prop,nsquat-prop,nmsh-prop,nntsws-prop,nntstf-prop,nntkinder5-prop,nntelem612-prop,nnths1316-prop,nnths1617-prop,ntert1721-prop,nntliter10ab-prop,npovp-prop,nfshort-prop,nunempl15ab-prop,nvictcr-prop,age_dep_ratio,dep_ratio
Aduas Centro (Aduas),1.3123359580052494,0.0,2.264426588750913,3.871439006574142,0.0,0.0,18.571428571428573,20.959147424511546,16.778523489932887,48.888888888888886,27.21518987341772,1.7068864037669218,19.21110299488678,0.8278548819089359,4.336734693877551,0.024348672997321647,0.5121502209131075,1.738
Aduas Norte,1.2295081967213115,0.819672131147541,3.0618621120599876,7.915017704644865,0.06248698187877526,0.166631951676734,23.456790123456788,20.084269662921347,27.513227513227513,52.26130653266332,22.027290448343077,2.7393753200204816,22.18287856696522,1.1039366798583627,5.0884955752212395,0.166631951676734,0.5314194577352472,1.7977855477855478
Aduas Sur,0.741839762611276,1.0385756676557862,4.184800803481754,3.515232674924674,0.2510880482089053,0.4686976899899564,33.035714285714285,17.15686274509804,26.477024070021884,53.813559322033896,23.842195540308747,6.048053024026512,36.374288583863404,1.7743555406762639,8.767123287671232,0.21760964178105122,0.5294418842805939,1.98998998998999
Bagong Buhay,2.0,1.0,8.718626155878468,1.1889035667107,0.0,3.963011889035667,10.526315789473683,19.672131147540984,29.508196721311474,69.56521739130434,25.396825396825395,6.153846153846154,52.179656538969624,0.0,7.196969696969697,0.0,0.6244635193133047,2.089795918367347
Bagong Sikat,5.2264808362369335,0.8710801393728222,1.2446351931330473,2.317596566523605,6.094420600858369,0.38626609442060084,20.792079207920793,17.414965986394556,28.381962864721483,51.76470588235295,18.28978622327791,5.26027397260274,54.44206008583691,4.849785407725322,4.648241206030151,0.12875536480686695,0.5877342419080068,2.0698287220026352
Bakero,1.4749262536873156,0.0,0.7469957778499512,1.7862942513803184,6.9827866190321535,0.0974342318934719,41.81818181818181,16.27906976744186,36.681222707423586,47.05882352941176,17.08185053380783,2.59170653907496,42.156544332575514,0.8444300097434233,3.8781163434903045,0.0,0.5070974057758199,1.957732949087416
Bakod Bayan,2.4079320113314444,0.424929178470255,6.147667593450726,0.8958912573370404,2.4250849552054374,0.35526722273710226,26.446280991735538,22.087132725430596,31.50943396226415,57.377049180327866,22.611464968152866,11.51106833493744,42.77108433734939,0.5560704355885079,6.739526411657559,0.04633920296570899,0.5414285714285715,2.1611328125
Balite,1.4563106796116505,0.0,1.457096600107933,1.834862385321101,0.053966540744738264,0.0,23.809523809523807,19.424460431654676,25.170068027210885,29.82456140350877,28.40909090909091,1.6891891891891893,41.93200215866163,0.0,8.59375,0.0,0.5493311036789298,2.9594017094017095
Bangad,0.4792332268370607,0.1597444089456869,1.9691499835904167,1.0338037413849688,0.0,4.578273711847719,33.64485981308411,18.935643564356436,27.802690582959645,37.66233766233766,30.685920577617328,3.266932270916335,15.851657367902854,0.13127666557269443,3.017832647462277,0.016409583196586804,0.48670407416443034,1.8731730315888733
Bantug Bulalo,1.0204081632653061,0.0,1.6068559185859668,5.570433851098018,0.0,0.2678093197643278,42.857142857142854,14.761904761904763,31.62393162393162,49.2063492063492,45.933014354066984,2.119460500963391,31.280128548473485,0.9105516871987145,2.479338842975207,0.48205677557579,0.4864649681528662,1.637005649717514
Bantug Norte,0.6435006435006435,0.0,4.187153053132434,8.152260111022997,0.2061855670103093,0.01586042823156225,39.00709219858156,19.951632406287786,29.193899782135073,60.58091286307054,25.12908777969019,1.6494435612082672,35.289452815226014,0.5868358445678034,3.3693304535637147,0.14274385408406026,0.5255262521171062,1.8185069289226643
Barlis,0.5128205128205128,0.0,9.04790065050266,1.478415138971023,0.4730928444707274,0.0,16.129032258064516,17.94871794871795,24.675324675324674,43.58974358974359,26.486486486486488,11.330409356725147,38.971023063276164,0.35481963335304556,14.258188824662813,0.0,0.5330915684496826,2.8
Barrera District (Pob.),1.9726858877086493,0.0,2.7982026143790852,3.349673202614379,2.083333333333333,0.26552287581699346,31.914893617021278,19.738751814223512,35.751295336787564,61.08108108108108,20.125786163522015,2.840761011206672,40.09395424836602,0.7148692810457516,3.2293377120963327,0.08169934640522876,0.5757965883488896,1.7692307692307692
Bernardo District (Pob.),0.0,0.0,1.0044642857142858,0.0,0.0,0.0,41.17647058823529,20.388349514563107,24.528301886792452,50.0,27.350427350427353,1.7591339648173208,27.455357142857146,0.0,4.0650406504065035,0.0,0.47611202635914335,1.5310734463276836
Bitas,1.4084507042253522,0.6036217303822937,7.2152653548002395,2.1665672828463527,0.0,0.934207910952097,32.22222222222222,15.86452762923351,29.736842105263158,38.666666666666664,52.18476903870163,3.2418362517747283,39.852911945935205,0.33790498906777977,5.762897914379803,0.3180282250049692,0.43374180678255914,1.930110658124636
Bonifacio District (Pob.),2.166064981949458,0.0,5.810928013876843,4.032957502168257,0.17346053772766695,0.43365134431916735,39.130434782608695,16.346153846153847,24.22680412371134,51.19047619047619,25.742574257425744,2.8077753779697625,31.13616652211622,0.5637467476149176,4.423748544819558,0.0,0.5892487939352171,1.8087697929354445
Buliran,0.8733624454148471,0.0,0.6156552330694811,1.4072119613016711,0.0,0.0,19.565217391304348,17.465753424657535,20.618556701030926,43.83561643835616,23.636363636363637,1.5384615384615385,26.033421284080916,0.0,5.779569892473118,0.0,0.508958195089582,2.2439372325249645
Caalibangbangan,0.7168458781362007,0.35842293906810035,15.40373906125696,2.0684168655529036,0.5171042163882259,0.0,37.37373737373738,19.899062725306415,24.84548825710754,49.333333333333336,25.79650565262076,1.7235011695186506,47.20564836913286,0.44749403341288785,3.779971791255289,0.00994431185361973,0.5264116575591985,1.948109058927001
Cabu,0.7984031936127743,0.0,2.3228253140554633,2.0621000237022993,0.0,0.02370229912301493,26.027397260273972,18.124006359300477,23.006134969325153,51.19047619047619,19.786096256684495,1.2290167865707433,34.84237971083195,0.8058781701825076,5.141388174807198,0.04740459824602986,0.5545320560058954,1.85840108401084
Calawagan (Kalawagan),2.1621621621621623,1.6216216216216217,5.08274231678487,2.2458628841607564,0.2364066193853428,1.4184397163120568,17.857142857142858,13.692946058091287,17.80821917808219,40.0,19.17808219178082,3.037037037037037,46.98581560283688,3.546099290780142,3.8520801232665636,0.1773049645390071,0.5637707948243993,1.7115384615384615
